method,sampling,size,temp,mean_tau,mean_tau_sd,mean_rho,sn_ratio,pos_bias,flip_rate,validity,calls,n_pools
pairwise,random,5,0.0,0.8806,0.096,0.9212,,0.9434,0.9003,0.2093,1920,4
pairwise,stratified,5,0.0,0.8618,0.0833,0.9105,,0.9273,0.8719,0.1592,1920,4
pairwise,all,all,0.0,0.8579,0.0427,0.924,,0.9404,0.8969,0.0903,1920,4
absolute,random,all,0.0,0.5972,0.0907,0.7354,2.5941,,,0.8873,160,4
absolute,stratified,all,0.0,0.5972,0.0907,0.7354,2.5941,,,0.8873,160,4
absolute,stratified,15,0.0,0.5946,0.1423,0.7347,2.4847,,,0.8902,160,4
absolute,stratified,5,0.0,0.5075,0.1312,0.6496,1.9092,,,0.8711,160,4
absolute,random,15,0.0,0.5068,0.1123,0.6502,1.9266,,,0.9197,160,4
absolute,random,5,0.0,0.3684,0.0825,0.4969,1.2838,,,0.8608,160,4
absolute,random,all,1.0,0.3125,0.0702,0.4274,0.9714,,,0.8594,160,4
absolute,stratified,all,1.0,0.3125,0.0702,0.4274,0.9714,,,0.8594,160,4
absolute,random,15,1.0,0.3055,0.0561,0.4183,0.9405,,,0.8601,160,4
absolute,stratified,15,1.0,0.3009,0.0897,0.414,0.9698,,,0.8454,160,4
absolute,stratified,5,1.0,0.2707,0.0908,0.3788,0.8959,,,0.8542,160,4
absolute,random,5,1.0,0.1966,0.0584,0.27,0.7785,,,0.8123,160,4
